Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
191,GB3MH,145.625,-,0.6,Tone,88.5,88.5,023,NN,FM,12.50,,East Grinstead,,,,
192,GB3MK,433,+,1.6,Tone,77,77,023,NN,FM,25.00,,Milton Keynes,,,,
193,GB3ML,430.9125,+,7.6,Tone,103.5,103.5,023,NN,FM,25.00,,Staines Upon Thames,,,,
194,GB3MN,145.65,-,0.6,Tone,82.5,82.5,023,NN,FM,12.50,,Disley,,,,
195,GB3MO,438.3875,-,7.6,Tone,110.9,110.9,023,NN,FM,25.00,,Morecambe,,,,
196,GB3MP,145.75,-,0.6,Tone,110.9,110.9,023,NN,FM,12.50,,Prestatyn,,,,
197,GB3MR,433.35,+,1.6,Tone,82.5,82.5,023,NN,FM,25.00,,Stockport,,,,
198,GB3MS ,433,+,1.6,Tone,67,67,023,NN,FM,25.00,,Malvern ,,,,
199,GB3MW,433.25,+,1.6,Tone,67,67,023,NN,FM,25.00,,Leamington Spa,,,,
200,GB3MY,433.275,+,1.6,Tone,82.5,82.5,023,NN,FM,25.00,,Atherton,,,,
201,GB3NA,145.6125,-,0.6,Tone,71.9,71.9,023,NN,FM,12.50,,Barnsley,,,,
202,GB3NB,145.625,-,0.6,Tone,94.8,94.8,023,NN,FM,12.50,,Norwich,,,,
203,GB3NC,145.725,-,0.6,Tone,77,77,023,NN,FM,12.50,,Roche,,,,
204,GB3NE,145.7625,-,0.6,Tone,118.8,118.8,023,NN,FM,12.50,,Newbury,,,,
205,GB3NF,145.625,-,0.6,Tone,77,77,023,NN,FM,12.50,,Nottingham,,,,
206,GB3NG,145.625,-,0.6,Tone,67,67,023,NN,FM,12.50,,Fraserburgh,,,,
207,GB3NH,430.95,+,7.6,Tone,77,77,023,NN,FM,25.00,,Northampton,,,,
208,GB3NI,145.725,-,0.6,Tone,110.9,110.9,023,NN,FM,12.50,,Belfast  N.i.,,,,
209,GB3NK,433.1,+,1.6,Tone,103.5,103.5,023,NN,FM,25.00,,Erith,,,,
210,GB3NL,145.775,-,0.6,Tone,82.5,82.5,023,NN,FM,12.50,,North London,,,,
211,GB3NM,433.175,+,1.6,Tone,71.9,71.9,023,NN,FM,25.00,,Nottingham,,,,
212,GB3NN,433.05,+,1.6,Tone,94.8,94.8,023,NN,FM,25.00,,Wells Norfolk,,,,
213,GB3NP,430.8875,+,7.6,Tone,77,77,023,NN,FM,25.00,,Towcester,,,,
214,GB3NR,433,+,1.6,Tone,94.8,94.8,023,NN,FM,25.00,,Norwich,,,,
215,GB3NS,439.675,-,9,Tone,82.5,82.5,023,NN,FM,25.00,,Caterham,,,,
216,GB3NT,433,+,1.6,Tone,118.8,118.8,023,NN,FM,25.00,,Newcastle Upon Tyne,,,,
217,GB3NU,439.325,-,9,Tone,71.9,71.9,023,NN,FM,25.00,,Nottingham,,,,
218,GB3NY,430.8375,+,7.6,Tone,67,67,023,NN,FM,25.00,,Hull,,,,
219,GB3NZ,145.6,-,0.6,Tone,94.8,94.8,023,NN,FM,12.50,,Wymondham,,,,
220,GB3OA,145.6125,-,0.6,Tone,82.5,82.5,023,NN,FM,12.50,,Southport,,,,
221,GB3OC,145.65,-,0.6,Tone,77,77,023,NN,FM,12.50,,Kirkwall,,,,
222,GB3OH,430.95,+,7.6,Tone,94.8,94.8,023,NN,FM,25.00,,Linlithgow,,,,
223,GB3OM,430.95,+,7.6,Tone,110.9,110.9,023,NN,FM,25.00,,Omagh,,,,
224,GB3OR,430.8375,+,7.6,Tone,103.5,103.5,023,NN,FM,25.00,,Llandudno,,,,
225,GB3OV,433.125,+,1.6,Tone,94.8,94.8,023,NN,FM,25.00,,St Neots,,,,
226,GB3OY,430.95,+,7.6,Tone,82.5,82.5,023,NN,FM,25.00,,Buckhurst Hill,,,,
227,GB3PA,145.625,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Paisley,,,,
228,GB3PB,145.625,-,0.6,Tone,71.9,71.9,023,NN,FM,12.50,,Wimborne,,,,
229,GB3PD,430.85,+,7.6,Tone,0,0,023,NN,FM,25.00,,Weymouth,,,,
230,GB3PE,145.675,-,0.6,Tone,94.8,94.8,023,NN,FM,12.50,,Peterborough,,,,
231,GB3PF,430.925,+,7.6,Tone,94.8,94.8,023,NN,FM,25.00,,Accrington,,,,
232,GB3PH,145.6,-,0.6,Tone,118.8,118.8,023,NN,FM,12.50,,Pwllheli,,,,
233,GB3PI,145.75,-,0.6,Tone,77,77,023,NN,FM,12.50,,Royston,,,,
234,GB3PK,145.6625,-,0.6,Tone,110.9,110.9,023,NN,FM,12.50,,Ballycastle,,,,
235,GB3PL,145.7625,-,0.6,Tone,77,77,023,NN,FM,12.50,,Plympton,,,,
236,GB3PM,430.9,+,7.6,Tone,71.9,71.9,023,NN,FM,25.00,,Sheffield,,,,
237,GB3PN,430.95,+,7.6,Tone,82.5,82.5,023,NN,FM,25.00,,Blackpool,,,,
238,GB3PO,145.65,-,0.6,Tone,110.9,110.9,023,NN,FM,12.50,,Ipswich,,,,
239,GB3PP,433.375,+,1.6,Tone,82.5,82.5,023,NN,FM,25.00,,Preston,,,,
240,GB3PR,145.675,-,0.6,Tone,94.8,94.8,023,NN,FM,12.50,,Perth,,,,
241,GB3PT,430.8625,+,7.6,Tone,94.8,94.8,023,NN,FM,25.00,,Prescot,,,,
242,GB3PU,433,+,1.6,Tone,94.8,94.8,023,NN,FM,25.00,,Perth,,,,
243,GB3PW,145.775,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Newtown,,,,
244,GB3PX,50.78,+,0.5,Tone,77,77,023,NN,FM,Royston,,,,
245,GB3PY,430.9,+,7.6,Tone,77,77,023,NN,FM,25.00,,Cambridge,,,,
246,GB3PZ,430.9,+,7.6,Tone,82.5,82.5,023,NN,FM,25.00,,Dukinfield,,,,
247,GB3RB,433.2,+,1.6,Tone,71.9,71.9,023,NN,FM,25.00,,Bolsover,,,,
248,GB3RC,430.8625,+,7.6,Tone,103.5,103.5,023,NN,FM,25.00,,Cheltenham,,,,
249,GB3RD,145.675,-,0.6,Tone,118.8,118.8,023,NN,FM,12.50,,Reading,,,,
